TRADE # TYPE   TICKER   BUY DATE     BUY PRICE SELL DATE    SELL PRICE %PROFIT %LOSS   DAYS

51849  	E	FE    	1/5/2012	 42.15	1/24/2012	 41.89	      	 -0.62	12
51848  	E	UN    	1/9/2012	 33.88	1/24/2012	 32.69	      	 -3.51	10
51847  	E	EQT   	1/12/2012	 50.80	1/24/2012	 49.28	      	 -2.99	7
51846  	E	URBN  	1/12/2012	 24.27	1/24/2012	 25.60	  5.48	      	7
51845  	E	CVX   	1/13/2012	104.62	1/24/2012	106.45	  1.75	      	6
51844  	E	DVN   	1/17/2012	 63.77	1/24/2012	 64.73	  1.51	      	5
51843  	E	PEG   	1/17/2012	 31.17	1/24/2012	 30.70	      	 -1.51	5
51842  	E	WEC   	1/17/2012	 34.45	1/24/2012	 34.02	      	 -1.25	5
51841  	E	CMS   	1/20/2012	 21.46	1/24/2012	 21.56	  0.47	      	2
51840  	E	UGI   	1/6/2012	 28.73	1/23/2012	 28.26	      	 -1.64	10
51839  	E	KO    	1/9/2012	 69.00	1/23/2012	 68.00	      	 -1.45	9
51838  	A	IBM   	1/10/2012	183.23	1/23/2012	187.91	  2.55	      	8
51837  	A	JNY   	1/10/2012	  8.74	1/23/2012	  9.22	  5.49	      	8
51836  	E	ABT   	1/12/2012	 55.65	1/23/2012	 55.87	  0.40	      	6
51835  	E	DTE   	1/17/2012	 53.89	1/23/2012	 53.61	      	 -0.52	4
51834  	E	VOD   	1/17/2012	 26.99	1/23/2012	 27.90	  3.37	      	4
51833  	E	EIX   	1/20/2012	 39.98	1/23/2012	 40.39	  1.03	      	1
51832  	A	BKS   	12/22/2011	 14.70	1/20/2012	 11.62	      	-20.95	18
51831  	E	JCP   	1/6/2012	 34.28	1/20/2012	 35.38	  3.21	      	9
51830  	E	THOR  	1/6/2012	 30.49	1/20/2012	 29.78	      	 -2.33	9
51829  	E	FDO   	1/9/2012	 53.60	1/20/2012	 55.08	  2.76	      	8
51828  	E	PEP   	1/9/2012	 65.26	1/20/2012	 66.06	  1.23	      	8
51827  	A	TIF   	1/11/2012	 59.40	1/20/2012	 63.03	  6.11	      	6
51826  	E	ORI   	1/17/2012	  9.09	1/20/2012	  9.19	  1.10	      	3
51825  	E	SSP   	1/18/2012	  8.15	1/20/2012	  8.30	  1.84	      	2
51824  	E	LLY   	1/5/2012	 39.43	1/19/2012	 40.28	  2.16	      	9
51823  	E	ANN   	1/6/2012	 23.30	1/19/2012	 23.73	  1.85	      	8
51822  	E	NTAP  	1/6/2012	 34.96	1/19/2012	 35.20	  0.69	      	8
51821  	A	GSK   	1/10/2012	 43.98	1/19/2012	 44.68	  1.59	      	6
51820  	A	STE   	1/10/2012	 28.90	1/19/2012	 29.11	  0.73	      	6
51819  	E	ENR   	1/17/2012	 77.14	1/19/2012	 78.11	  1.26	      	2
51818  	E	NBL   	1/17/2012	 97.16	1/19/2012	 97.63	  0.48	      	2
51817  	E	AN    	1/5/2012	 33.11	1/18/2012	 34.23	  3.38	      	8
51816  	E	ANF   	1/6/2012	 46.01	1/18/2012	 45.70	      	 -0.67	7
51815  	E	COST  	1/6/2012	 83.17	1/18/2012	 81.29	      	 -2.26	7
51814  	E	AEE   	1/9/2012	 32.32	1/18/2012	 32.30	      	 -0.06	6
51813  	A	EQR   	1/10/2012	 55.67	1/18/2012	 55.67	  0.00	  0.00	5
51812  	E	PG    	1/12/2012	 66.00	1/18/2012	 65.90	      	 -0.15	3
51811  	E	AVB   	1/13/2012	124.61	1/18/2012	128.82	  3.38	      	2
51810  	E	SWY   	1/13/2012	 20.88	1/18/2012	 21.03	  0.72	      	2
51809  	E	TOT   	1/17/2012	 50.78	1/18/2012	 51.34	  1.10	      	1
51808  	E	KSS   	1/4/2012	 47.72	1/17/2012	 47.26	      	 -0.96	8
51807  	E	WMB   	1/4/2012	 26.81	1/17/2012	 28.51	  6.34	      	8
51806  	E	COLM  	1/6/2012	 44.39	1/17/2012	 45.45	  2.39	      	6
51805  	E	GPS   	1/6/2012	 18.19	1/17/2012	 18.63	  2.42	      	6
51804  	E	VZ    	1/6/2012	 38.54	1/17/2012	 39.20	  1.71	      	6
51803  	E	MO    	1/4/2012	 28.40	1/13/2012	 28.76	  1.27	      	7
51802  	E	CPB   	1/5/2012	 32.69	1/13/2012	 32.17	      	 -1.59	6
51801  	E	JKHY  	1/5/2012	 32.68	1/13/2012	 32.78	  0.31	      	6
51800  	E	TGT   	1/5/2012	 48.00	1/13/2012	 49.65	  3.44	      	6
51799  	E	AJG   	1/6/2012	 32.86	1/13/2012	 32.87	  0.03	      	5
51798  	E	WMT   	1/6/2012	 59.42	1/13/2012	 59.18	      	 -0.40	5
51797  	E	MMC   	1/9/2012	 30.69	1/13/2012	 31.08	  1.27	      	4
51796  	A	UIS   	12/14/2011	 22.76	1/12/2012	 19.72	      	-13.36	19
51795  	E	DBD   	1/6/2012	 29.92	1/12/2012	 30.45	  1.77	      	4
51794  	E	LMT   	1/6/2012	 80.41	1/12/2012	 81.12	  0.88	      	4
51793  	E	OCR   	1/6/2012	 34.38	1/12/2012	 34.24	      	 -0.41	4
51792  	E	VLO   	1/6/2012	 20.00	1/12/2012	 20.37	  1.85	      	4
51791  	A	TIBX  	1/10/2012	 23.37	1/12/2012	 24.16	  3.38	      	2
51790  	E	ADTN  	1/5/2012	 28.98	1/11/2012	 29.45	  1.62	      	4
51789  	E	DDS   	1/5/2012	 43.28	1/11/2012	 44.79	  3.49	      	4
51788  	E	DF    	1/5/2012	 10.76	1/11/2012	 11.04	  2.60	      	4
51787  	E	FRT   	1/5/2012	 89.22	1/11/2012	 90.93	  1.92	      	4
51786  	E	SRCL  	1/5/2012	 76.62	1/11/2012	 80.20	  4.67	      	4
51785  	E	AON   	1/6/2012	 46.48	1/11/2012	 46.50	  0.04	      	3
51784  	E	BDX   	1/6/2012	 72.85	1/11/2012	 74.02	  1.61	      	3
51783  	E	BRKS  	1/6/2012	 10.38	1/11/2012	 10.40	  0.19	      	3
51782  	E	FDS   	1/6/2012	 87.96	1/11/2012	 87.60	      	 -0.41	3
51781  	E	FRED  	1/6/2012	 14.12	1/11/2012	 14.33	  1.49	      	3
51780  	E	GXP   	1/6/2012	 21.31	1/11/2012	 21.58	  1.27	      	3
51779  	E	IDA   	1/6/2012	 41.38	1/11/2012	 41.71	  0.80	      	3
51778  	E	PLL   	1/6/2012	 57.10	1/11/2012	 57.69	  1.03	      	3
51777  	E	RMD   	1/6/2012	 24.96	1/11/2012	 25.98	  4.09	      	3
51776  	E	STZ   	1/6/2012	 19.83	1/11/2012	 20.66	  4.19	      	3
51775  	E	VRSN  	1/6/2012	 35.57	1/11/2012	 35.78	  0.59	      	3
51774  	E	XL    	1/6/2012	 19.84	1/11/2012	 20.13	  1.46	      	3
51773  	A	SCHL  	1/10/2012	 29.68	1/11/2012	 30.05	  1.25	      	1
51772  	E	ACE   	1/6/2012	 69.99	1/10/2012	 70.61	  0.89	      	2
51771  	E	FISV  	1/6/2012	 58.70	1/10/2012	 59.19	  0.83	      	2
51770  	E	GMT   	1/6/2012	 43.53	1/10/2012	 44.22	  1.59	      	2
51769  	E	JBHT  	1/6/2012	 44.29	1/10/2012	 45.72	  3.23	      	2
51768  	E	MCRL  	1/9/2012	  9.92	1/10/2012	 10.31	  3.93	      	1
51767  	E	INTU  	1/5/2012	 52.08	1/9/2012	 53.20	  2.15	      	2
51766  	E	FCN   	1/6/2012	 42.80	1/9/2012	 42.98	  0.42	      	1
51765  	E	AM    	12/23/2011	 13.31	1/6/2012	 13.03	      	 -2.10	8
51764  	A	LVLT  	12/29/2011	 16.72	1/6/2012	 17.74	  6.10	      	5
51763  	E	AZO   	1/4/2012	318.23	1/6/2012	333.85	  4.91	      	2
51762  	E	PETM  	1/4/2012	 50.28	1/6/2012	 52.14	  3.70	      	2
51761  	E	SLM   	1/5/2012	 13.32	1/6/2012	 13.81	  3.68	      	1
51760  	A	HAS   	12/14/2011	 34.70	1/5/2012	 32.48	      	 -6.40	14
51759  	A	ORCL  	12/15/2011	 30.14	1/5/2012	 26.01	      	-13.70	13
51758  	C	SRS   	12/21/2011	 38.07	1/5/2012	 37.24	      	 -2.18	9
51757  	E	BBBY  	12/23/2011	 57.83	1/5/2012	 59.20	  2.37	      	7
51756  	A	AMZN  	12/14/2011	178.55	1/4/2012	179.21	  0.37	      	13
51755  	A	NEM   	12/14/2011	 61.49	1/4/2012	 61.78	  0.47	      	13
51754  	A	RHT   	12/14/2011	 46.98	1/4/2012	 41.76	      	-11.11	13
51753  	A	ADSK  	12/15/2011	 31.61	1/4/2012	 30.69	      	 -2.91	12
51752  	A	AEM   	12/15/2011	 39.00	1/4/2012	 37.95	      	 -2.69	12
51751  	A	EMC   	12/15/2011	 22.42	1/4/2012	 21.77	      	 -2.90	12
51750  	C	EMR   	12/22/2011	 46.81	1/4/2012	 47.70	  1.90	      	7
51749  	E	BMC   	12/29/2011	 32.39	1/4/2012	 33.05	  2.04	      	3
51748  	A	HPQ   	12/13/2011	 27.41	12/30/2011	 25.52	      	 -6.90	12
51747  	A	COLM  	12/14/2011	 47.49	12/28/2011	 46.25	      	 -2.61	9
51746  	A	IBM   	12/15/2011	190.48	12/28/2011	185.19	      	 -2.78	8
51745  	A	LRCX  	12/15/2011	 38.34	12/28/2011	 37.04	      	 -3.39	8
51744  	A	RIMM  	12/15/2011	 15.14	12/28/2011	 14.83	      	 -2.05	8
51743  	A	BBY   	12/14/2011	 23.83	12/27/2011	 23.20	      	 -2.64	8
51742  	A	FDS   	12/14/2011	 88.17	12/27/2011	 88.22	  0.06	      	8
51741  	A	MGA   	12/14/2011	 33.55	12/27/2011	 33.54	      	 -0.03	8
51740  	A	RSH   	12/14/2011	 10.53	12/27/2011	  9.75	      	 -7.41	8
51739  	A	FL    	12/15/2011	 24.01	12/27/2011	 23.60	      	 -1.71	7
51738  	A	KSS   	12/15/2011	 49.98	12/27/2011	 49.83	      	 -0.30	7
51737  	A	VVI   	12/15/2011	 17.53	12/27/2011	 17.30	      	 -1.31	7
